text,label
Overkill by Government ,1
The vaccine is unnecessary ,7
Bungling Bureaucrats ,1
Sailors were coerced/threatened with retribution ,10
Consent form treated with suspicion ,1
The administration of the vaccine was bungled ,1
They had low susceptibility to vaccine preventable diseases,7
Vaccination was a personal decision unrelated to their role as HCPs,10
"Hospitals expected them to vaccinate without question, which led some nurses to oppose all vaccinations.",10
Willing to accept the risks of not vaccinating to ensure their decisional autonomy was not compromised and to be in control of their bodily integrity,10
Right to acquire vaccine preventable diseases and recover from them as long as it is their decision.,10
Preventable diseases were not sufficiently severe to warrant vaccination.,7
"Influenced by personal experiences undergoing vaccination as well as the experiences of their patients, fellow colleagues and family members.",9
The use of alternative methods to help prevent and combat vaccine preventable diseases that also reduced the need to vaccinate,2
Vaccine injuries and safety concerns ,6
Suggest vaccine exemptions as remedies ,2
Religious reasons ,4
Free-riders ,8
Saw vaccination as toxic for everybody. ,6
Malign a category of people as their explicit opposites,3
Fear of adverse events is a well-documented basis for hesitancy. ,6
They saw themselves as upholding while vaccinators did not.,2
Vaccinated people make other people sick ,2
Free ride ,8
Reasons to Refuse COVID-19 Vaccine ,1
Side Effects of COVID-19 Vaccine ,6
COVID-19 Vaccine as a Population Control Mechanism ,0
Comparison of COVID-19 with Other Health Issues ,0
Interpret the contraindications to vaccination far more liberally than did the government’s advisors. ,6
Religious objections,4
Adverse Reaction,6
Vaccine Being Fast-Tracked,1
Safety and effectiveness,6
Alternative treatments,2
"Poisons, additives, and ingredients",6
Financial motives,1
Conspiracy theories,0
Natural is best,2
Innate intelligence. ,2
Risk from vaccines themselves,6
"Risk of vaccines outweighing risk of disease, especially as the risk of disease becomes unfamiliar",7
"Weighing of risks and benefits of vaccines, or the benefits of vaccines",7
Negative health impacts ,6
Pharmaceutical industry mentions,0
Vaccine ingredients ,6
Vaccine research ,1
Family members,6
Religion,4
Pharmaceutical Industry ,1
Vaccine Ingredients ,6
Research & Clinical Trials ,6
Vaccine Safety ,6
Disease Prevalence ,6
Collusion and conspiracy ,0
Morality and necessity of individual choice ,9
Natural solutions ,2
Mother knows best: Maternal empowerment ,9
Distrust of conventional medicine establishment ,1
Russian roulette’ risk benefit analysis ,2
Risk associated with vaccines ,6
Conspiracy theory rhetoric,0
Safety concerns ,7
Fear of unknown long-term effects ,6
Concerns about lack of efficacy ,1
Lack of trust in vaccination sources/ organizations ,1
